Month,Year,Products,"Quantity (000 Metric Tonnes)",updated_date
April,2023,"HSD Others",2298.86,2024-04-29
April,2023,Others,2587.04,2024-04-29
May,2023,MS-VI,2388.04,2024-04-29
May,2023,BITUMEN,507.71,2024-04-29
June,2023,LPG,1085.86,2024-04-29
June,2023,NAPHTHA,1478.84,2024-04-29
June,2023,HSD-VI,7254.32,2024-04-29
June,2023,LUBES,132.77,2024-04-29
June,2023,LSHS,49.73,2024-04-29
July,2023,ATF,1439.24,2024-04-29
July,2023,FO,889.83,2024-04-29
July,2023,Others,2598.40,2024-04-29
August,2023,LPG,984.15,2024-04-29
August,2023,MS-VI,2484.39,2024-04-29
August,2023,"MS Others",1350.37,2024-04-29
August,2023,"HSD Others",2681.54,2024-04-29
August,2023,RPC/Petcoke,1247.57,2024-04-29
September,2023,MS-VI,2434.11,2024-04-29
September,2023,Others,2666.26,2024-04-29
October,2023,MS-VI,2390.48,2024-04-29
October,2023,SKO,45.19,2024-04-29
November,2023,SKO,71.80,2024-04-29
November,2023,HSD-VI,7164.39,2024-04-29
November,2023,LSHS,51.45,2024-04-29
December,2023,LPG,1167.25,2024-04-29
December,2023,MS-VI,2750.64,2024-04-29
December,2023,RPC/Petcoke,1343.54,2024-04-29
January,2024,NAPHTHA,1688.60,2024-04-29
January,2024,LSHS,91.11,2024-04-29
February,2024,LPG,1008.63,2024-04-29
February,2024,"HSD Others",2654.59,2024-04-29
March,2024,LPG,1153.33,2024-04-29
March,2024,NAPHTHA,1667.06,2024-04-29
March,2024,BITUMEN,636.64,2024-04-29
April,2022,FO,751.96,2024-04-29
April,2022,LSHS,57.93,2024-04-29
May,2022,MS-VI,2422.94,2024-04-29
May,2022,SKO,130.97,2024-04-29
May,2022,LUBES,104.36,2024-04-29
June,2022,LDO,45.24,2024-04-29
June,2022,LUBES,79.39,2024-04-29
June,2022,RPC/Petcoke,1266.82,2024-04-29
July,2022,LPG,1079.87,2024-04-29
July,2022,SKO,76.43,2024-04-29
July,2022,LUBES,79.38,2024-04-29
